"en","a level"
"en","a posteriori","fr","a posteriori"
"en","a priori","fr","a priori"
"en","a-bomb"
"en","a-frame"
"en","a-line","en","a-line skirts"
"en","a-list"
"en","a-ok"
"en","a-one"
"en","a-plus"
"en","a-sea"
"en","aahing"
"en","aardvark","en","aardvarks"
"en","aardwolf"
"en","ab"
"en","aba"
"en","abaca","fr","abaca"
"en","aback"
"en","abacus","fr","abaque"
"en","abaft"
"en","abalone","en","abalones"
"en","abandon","en","abandons","en","abandoned","en","abandonment","fr","abandonner","fr","abandonné","fr","abandon","fr","abandonne"
"en","abase","en","abased","en","abasement"
"en","abash","en","abashed"
"en","abate","en","abating","en","abated"
"en","abatement"
"en","abatis","fr","abattis"
"en","abattoir"
"en","abaxial","fr","abaxial"
"en","abaya"
"en","abbess","fr","abbesse"
"en","abbey","fr","abbaye","fr","abbatiale"
"en","abbot","en","abbots","fr","abbé","fr","aber"
"en","abbreviate","en","abbreviated","fr","abrévier","fr","abréger"
"en","abbreviation","fr","abréviation"
"en","abdicate","en","abdication","fr","abdiquer","fr","abdication","fr","abdiquant"
"en","abdicator"
"en","abdomen","en","abdominal","en","abdominals","fr","abdomen","fr","abdominal","fr","abdominaux"
"en","abduce"
"en","abduct","en","abducting","en","abducted","en","abductee","en","abductor","fr","abducteur"
"en","abduction","fr","abduction"
"en","abeam"
"en","abecedarian","en","abecedarius","en","abecedary"
"en","abecedarium","fr","abécédaire"
"en","abed"
"en","abelian","fr","abélien"
"en","abend"
"en","aberrance","en","aberrant","fr","aberrant"
"en","aberrated","fr","aberrer","fr","aberré"
"en","aberration","en","aberrations","fr","aberration"
"en","abet","en","abetting","en","abetted"
"en","abetment"
"en","abex"
"en","abeyance"
"en","abfraction"
"en","abhor","en","abhoring","fr","abhorrassions"
"en","abhorrence"
"en","abhorrent"
"en","abide","en","abided"
"en","abiding"
"en","abies"
"en","ability","en","abilities","fr","aptitude"
"en","abiotic"
"en","abject","en","abjective"
"en","abjuration","fr","abjuration"
"en","abjure","en","abjured","fr","abjurer","fr","abjurant","fr","abjure"
"en","ablate","en","ablated","en","ablation","en","ablative","fr","ablation"
"en","ablaut"
"en","ablaze"
"en","able","en","abler","en","ablest"
"en","able seaman"
"en","able-bodied","en","able-body"
"en","ableism","en","ableist"
"en","abluminal"
"en","ablute"
"en","ablution","en","ablutions","fr","ablution","fr","ablutions"
"en","ably"
"en","abnegate"
"en","abnegation","fr","abnégation"
"en","abnormal","en","abnormality","en","abnormally","fr","aberrance","fr","anormal"
"en","aboard"
"en","abode","en","abodes"
"en","aboil"
"en","abolish","fr","aboli","fr","abolis","fr","abolir"
"en","abolition","fr","abolition"
"en","abolitionism","en","abolitionist","fr","abolitionnisme","fr","abolitionniste"
"en","abomasum"
"en","abominable","fr","abominable"
"en","abominate","fr","abomine"
"en","abomination","fr","abomination"
"en","aboral"
"en","aboriginal","en","aboriginals","fr","arborigène"
"en","aborigine"
"en","abort","en","aborted","fr","avorter"
"en","abortion","fr","avortement"
"en","abortionist"
"en","abound","fr","abonder","fr","abondement","fr","abonde"
"en","about","fr","à-propos"
"en","about-face"
"en","above","fr","au-dessus"
"en","abox"
"en","abracadabra","fr","abracadabra","fr","abracadabrant","fr","abracadabrante"
"en","abrade","fr","abraser"
"en","abrase"
"en","abrasion","fr","abrasion"
"en","abrasive","fr","abrasif","fr","abrasive"
"en","abraxas"
"en","abreaction","fr","abréaction"
"en","abreast"
"en","abridge","en","abridged"
"en","abridgement","fr","abrègement"
"en","abroad"
"en","abrogate","en","abrogation","fr","abrogatif"
"en","abrupt","en","abruptly","fr","abrupt","fr","abrupte","fr","abruptement"
"en","abruption","fr","abruption"
"en","abs"
"en","abscess","en","abscessed","fr","abcès"
"en","abscissa","fr","abscisse"
"en","abscond","en","absconds","en","absconded"
"en","abseil","en","abseiling"
"en","absence","fr","absence"
"en","absent","en","absents","fr","absente","fr","absent","fr","absenter"
"en","absentee","fr","absentéiste"
"en","absenteeism","fr","absentéisme"
"en","absently"
"en","absentminded","en","absentmindedness"
"en","absinthe","fr","absinthe"
"en","absinthine","fr","absinthine"
"en","absinthism","fr","absinthisme"
"en","absinthium"
"en","absolute","en","absolutely","fr","absolu","fr","absolument","fr","absoluité"
"en","absolution","fr","absolution","fr","absoute","fr","absolutoire"
"en","absolutist","en","absolutism","fr","absolutiste","fr","absolutisme"
"en","absolve","en","absolved","fr","absoudre","fr","absous"
"en","absorb","en","absorbs","en","absorbed","en","absorbable","fr","absorber","fr","absorbé","fr","absorbante","fr","absorbe","fr","absorbable"
"en","absorbance","fr","absorbance"
"en","absorbent","fr","absorbant"
"en","absorption","fr","absorption"
"en","absorptivity"
